Year,Energy Type,Value
1990,Hydro,2191.67
1990,Biofuel,3.88
1990,Solar,0.09
1990,Geothermal,36.42
1991,Hydro,2268.63
1991,Biofuel,4.19
1991,Solar,0.1
1991,Geothermal,37.39
1992,Hydro,2267.16
1992,Biofuel,4.63
1992,Solar,0.12
1992,Geothermal,39.3
1993,Hydro,2397.67
1993,Biofuel,5.61
1993,Solar,0.15
1993,Geothermal,40.23
1994,Hydro,2419.73
1994,Biofuel,7.31
1994,Solar,0.17
1994,Geothermal,41.05
1995,Hydro,2545.96
1995,Biofuel,7.95
1995,Solar,0.19
1995,Geothermal,39.89
1996,Hydro,2583.18
1996,Biofuel,9.45
1996,Solar,0.22
1996,Geothermal,42.18
1997,Hydro,2614.54
1997,Biofuel,12.08
1997,Solar,0.27
1997,Geothermal,42.38
1998,Hydro,2628.63
1998,Biofuel,16.07
1998,Solar,0.35
1998,Geothermal,45.35
1999,Hydro,2636.26
1999,Biofuel,21.52
1999,Solar,0.61
1999,Geothermal,48.66
2000,Hydro,2695.85
2000,Biofuel,31.34
2000,Solar,0.99
2000,Geothermal,51.98
2001,Hydro,2638.2
2001,Biofuel,38.45
2001,Solar,1.32
2001,Geothermal,51.57
2002,Hydro,2711.12
2002,Biofuel,52.85
2002,Solar,1.58
2002,Geothermal,52.29
2003,Hydro,2726.33
2003,Biofuel,64.23
2003,Solar,2.01
2003,Geothermal,54.09
2004,Hydro,2894.22
2004,Biofuel,84.43
2004,Solar,2.66
2004,Geothermal,56.5
2005,Hydro,3019.5
2005,Biofuel,103.92
2005,Solar,3.92
2005,Geothermal,58.28
2006,Hydro,3124.34
2006,Biofuel,133.05
2006,Solar,5.52
2006,Geothermal,59.61
2007,Hydro,3165.71
2007,Biofuel,170.83
2007,Solar,7.47
2007,Geothermal,62.29
2008,Hydro,3285.59
2008,Biofuel,221.05
2008,Solar,11.92
2008,Geothermal,64.91
2009,Hydro,3338.82
2009,Biofuel,277.44
2009,Solar,20.04
2009,Geothermal,67.03
2010,Hydro,3530.72
2010,Biofuel,341.38
2010,Solar,32.22
2010,Geothermal,68.1
2011,Hydro,2603.78
2011,Biofuel,436.01
2011,Solar,63.76
2011,Geothermal,69.29
2012,Hydro,3765.96
2012,Biofuel,525.04
2012,Solar,99.03
2012,Geothermal,70.27
2013,Hydro,2898.28
2013,Biofuel,646.36
2013,Solar,139.64
2013,Geothermal,71.74
2014,Hydro,3976.01
2014,Biofuel,718.07
2014,Solar,190.25
2014,Geothermal,77.52
2015,Hydro,3989.28
2015,Biofuel,838.31
2015,Solar,250.75
2015,Geothermal,80.56
2016,Hydro,4162.26
2016,Biofuel,958.15
2016,Solar,329.14
2016,Geothermal,82.18
2017,Hydro,4197.29
2017,Biofuel,1127.31
2017,Solar,443.55
2017,Geothermal,85.34
